file_id,category,prompt,stage2_dists,stage1_dists
n02691156_359-3,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
n02691156_3791-2,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
n02691156_3791-5,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
n02691156_3854-1,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
n02691156_3854-2,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_4000-3,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_4008-2,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_4008-4,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_4008-6,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_4134-4,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_43250-6,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_47926-8,airplane,A photo of a airplane,0.37405505776405334,0.3722720146179199
n02691156_5181-3,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_53586-1,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_542-5,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_5583-6,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_5583-9,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_573-3,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_5740-2,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_5740-5,airplane,A photo of a airplane,0.35176149010658264,0.35056138038635254
n02691156_58-3,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_5873-1,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_5873-3,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_6120-4,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_6732-1,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_6784-3,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_6910-1,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_6910-2,airplane,A photo of a airplane,0.35360363125801086,0.3536037802696228
n02691156_7027-11,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
n02691156_7027-2,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
n02691156_7472-4,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
n02691156_7472-6,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
n02691156_7923-4,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
n02691156_8226-1,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
n02691156_8226-12,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
n02691156_8226-13,airplane,A photo of a airplane,0.38459768891334534,0.3824079930782318
